query_date,index,update_date,code,name
2015-01-10,hs300,2015-01-05,600000,浦发银行
2015-01-10,hs300,2015-01-05,600008,首创股份
2015-01-10,hs300,2015-01-05,600009,上海机场
2015-01-10,hs300,2015-01-05,600010,包钢股份
2015-01-10,hs300,2015-01-05,600011,华能国际
2015-01-10,hs300,2015-01-05,600015,华夏银行
2015-01-10,hs300,2015-01-05,600016,民生银行
2015-01-10,hs300,2015-01-05,600018,上港集团
2015-01-10,hs300,2015-01-05,600019,宝钢股份
2015-01-10,hs300,2015-01-05,600023,浙能电力
2015-01-10,hs300,2015-01-05,600027,华电国际
2015-01-10,hs300,2015-01-05,600028,中国石化
2015-01-10,hs300,2015-01-05,600029,南方航空
2015-01-10,hs300,2015-01-05,600030,中信证券
2015-01-10,hs300,2015-01-05,600031,三一重工
2015-01-10,hs300,2015-01-05,600036,招商银行
2015-01-10,hs300,2015-01-05,600038,中直股份
2015-01-10,hs300,2015-01-05,600048,保利地产
2015-01-10,hs300,2015-01-05,600050,中国联通
2015-01-10,hs300,2015-01-05,600058,五矿发展
2015-01-10,hs300,2015-01-05,600060,海信电器
2015-01-10,hs300,2015-01-05,600066,宇通客车
2015-01-10,hs300,2015-01-05,600068,葛洲坝
2015-01-10,hs300,2015-01-05,600079,人福医药
2015-01-10,hs300,2015-01-05,600085,同仁堂
2015-01-10,hs300,2015-01-05,600089,特变电工
2015-01-10,hs300,2015-01-05,600100,同方股份
2015-01-10,hs300,2015-01-05,600104,上汽集团
2015-01-10,hs300,2015-01-05,600108,亚盛集团
2015-01-10,hs300,2015-01-05,600109,国金证券
2015-01-10,hs300,2015-01-05,600111,北方稀土
2015-01-10,hs300,2015-01-05,600115,东方航空
2015-01-10,hs300,2015-01-05,600118,中国卫星
2015-01-10,hs300,2015-01-05,600143,金发科技
2015-01-10,hs300,2015-01-05,600150,*ST船舶
2015-01-10,hs300,2015-01-05,600153,建发股份
2015-01-10,hs300,2015-01-05,600157,永泰能源
2015-01-10,hs300,2015-01-05,600166,福田汽车
2015-01-10,hs300,2015-01-05,600170,上海建工
2015-01-10,hs300,2015-01-05,600177,雅戈尔
2015-01-10,hs300,2015-01-05,600188,兖州煤业
2015-01-10,hs300,2015-01-05,600196,复星医药
2015-01-10,hs300,2015-01-05,600208,新湖中宝
2015-01-10,hs300,2015-01-05,600221,海航控股
2015-01-10,hs300,2015-01-05,600252,中恒集团
2015-01-10,hs300,2015-01-05,600256,广汇能源
2015-01-10,hs300,2015-01-05,600267,海正药业
2015-01-10,hs300,2015-01-05,600271,航天信息
2015-01-10,hs300,2015-01-05,600276,恒瑞医药
2015-01-10,hs300,2015-01-05,600277,亿利洁能
2015-01-10,hs300,2015-01-05,600309,万华化学
2015-01-10,hs300,2015-01-05,600315,上海家化
2015-01-10,hs300,2015-01-05,600316,洪都航空
2015-01-10,hs300,2015-01-05,600332,白云山
2015-01-10,hs300,2015-01-05,600340,华夏幸福
2015-01-10,hs300,2015-01-05,600348,阳泉煤业
2015-01-10,hs300,2015-01-05,600352,浙江龙盛
2015-01-10,hs300,2015-01-05,600362,江西铜业
2015-01-10,hs300,2015-01-05,600369,西南证券
2015-01-10,hs300,2015-01-05,600372,中航电子
2015-01-10,hs300,2015-01-05,600373,中文传媒
2015-01-10,hs300,2015-01-05,600383,金地集团
2015-01-10,hs300,2015-01-05,600395,盘江股份
2015-01-10,hs300,2015-01-05,600398,海澜之家
2015-01-10,hs300,2015-01-05,600406,国电南瑞
2015-01-10,hs300,2015-01-05,600415,小商品城
2015-01-10,hs300,2015-01-05,600436,片仔癀
2015-01-10,hs300,2015-01-05,600485,信威集团
2015-01-10,hs300,2015-01-05,600489,中金黄金
2015-01-10,hs300,2015-01-05,600497,驰宏锌锗
2015-01-10,hs300,2015-01-05,600498,烽火通信
2015-01-10,hs300,2015-01-05,600516,方大炭素
2015-01-10,hs300,2015-01-05,600518,康美药业
2015-01-10,hs300,2015-01-05,600519,贵州茅台
2015-01-10,hs300,2015-01-05,600535,天士力
2015-01-10,hs300,2015-01-05,600547,山东黄金
2015-01-10,hs300,2015-01-05,600549,厦门钨业
2015-01-10,hs300,2015-01-05,600570,恒生电子
2015-01-10,hs300,2015-01-05,600578,京能电力
2015-01-10,hs300,2015-01-05,600583,海油工程
2015-01-10,hs300,2015-01-05,600585,海螺水泥
2015-01-10,hs300,2015-01-05,600588,用友网络
2015-01-10,hs300,2015-01-05,600597,光明乳业
2015-01-10,hs300,2015-01-05,600600,青岛啤酒
2015-01-10,hs300,2015-01-05,600633,浙数文化
2015-01-10,hs300,2015-01-05,600637,东方明珠
2015-01-10,hs300,2015-01-05,600642,申能股份
2015-01-10,hs300,2015-01-05,600648,外高桥
2015-01-10,hs300,2015-01-05,600649,城投控股
2015-01-10,hs300,2015-01-05,600655,豫园股份
2015-01-10,hs300,2015-01-05,600660,福耀玻璃
2015-01-10,hs300,2015-01-05,600663,陆家嘴
2015-01-10,hs300,2015-01-05,600664,哈药股份
2015-01-10,hs300,2015-01-05,600674,川投能源
2015-01-10,hs300,2015-01-05,600688,上海石化
2015-01-10,hs300,2015-01-05,600690,青岛海尔
2015-01-10,hs300,2015-01-05,600703,三安光电
2015-01-10,hs300,2015-01-05,600705,中航资本
2015-01-10,hs300,2015-01-05,600718,东软集团
2015-01-10,hs300,2015-01-05,600739,辽宁成大
2015-01-10,hs300,2015-01-05,600741,华域汽车
2015-01-10,hs300,2015-01-05,600783,鲁信创投
2015-01-10,hs300,2015-01-05,600795,国电电力
2015-01-10,hs300,2015-01-05,600804,鹏博士
2015-01-10,hs300,2015-01-05,600809,山西汾酒
2015-01-10,hs300,2015-01-05,600827,百联股份
2015-01-10,hs300,2015-01-05,600832,东方明珠
2015-01-10,hs300,2015-01-05,600837,海通证券
2015-01-10,hs300,2015-01-05,600839,四川长虹
2015-01-10,hs300,2015-01-05,600863,内蒙华电
2015-01-10,hs300,2015-01-05,600867,通化东宝
2015-01-10,hs300,2015-01-05,600873,梅花生物
2015-01-10,hs300,2015-01-05,600875,东方电气
2015-01-10,hs300,2015-01-05,600880,博瑞传播
2015-01-10,hs300,2015-01-05,600886,国投电力
2015-01-10,hs300,2015-01-05,600887,伊利股份
2015-01-10,hs300,2015-01-05,600893,航发动力
2015-01-10,hs300,2015-01-05,600900,长江电力
2015-01-10,hs300,2015-01-05,600998,九州通
2015-01-10,hs300,2015-01-05,600999,招商证券
2015-01-10,hs300,2015-01-05,601006,大秦铁路
2015-01-10,hs300,2015-01-05,601009,南京银行
2015-01-10,hs300,2015-01-05,601018,宁波港
2015-01-10,hs300,2015-01-05,601088,中国神华
2015-01-10,hs300,2015-01-05,601098,中南传媒
2015-01-10,hs300,2015-01-05,601111,中国国航
2015-01-10,hs300,2015-01-05,601117,中国化学
2015-01-10,hs300,2015-01-05,601118,海南橡胶
2015-01-10,hs300,2015-01-05,601158,重庆水务
2015-01-10,hs300,2015-01-05,601166,兴业银行
2015-01-10,hs300,2015-01-05,601168,西部矿业
2015-01-10,hs300,2015-01-05,601169,北京银行
2015-01-10,hs300,2015-01-05,601179,中国西电
2015-01-10,hs300,2015-01-05,601186,中国铁建
2015-01-10,hs300,2015-01-05,601216,君正集团
2015-01-10,hs300,2015-01-05,601225,陕西煤业
2015-01-10,hs300,2015-01-05,601231,环旭电子
2015-01-10,hs300,2015-01-05,601258,庞大集团
2015-01-10,hs300,2015-01-05,601288,农业银行
2015-01-10,hs300,2015-01-05,601299,中国北车
2015-01-10,hs300,2015-01-05,601318,中国平安
2015-01-10,hs300,2015-01-05,601328,交通银行
2015-01-10,hs300,2015-01-05,601333,广深铁路
2015-01-10,hs300,2015-01-05,601336,新华保险
2015-01-10,hs300,2015-01-05,601377,兴业证券
2015-01-10,hs300,2015-01-05,601390,中国中铁
2015-01-10,hs300,2015-01-05,601398,工商银行
2015-01-10,hs300,2015-01-05,601555,东吴证券
2015-01-10,hs300,2015-01-05,601600,中国铝业
2015-01-10,hs300,2015-01-05,601601,中国太保
2015-01-10,hs300,2015-01-05,601607,上海医药
2015-01-10,hs300,2015-01-05,601618,中国中冶
2015-01-10,hs300,2015-01-05,601628,中国人寿
2015-01-10,hs300,2015-01-05,601633,长城汽车
2015-01-10,hs300,2015-01-05,601668,中国建筑
2015-01-10,hs300,2015-01-05,601669,中国电建
2015-01-10,hs300,2015-01-05,601688,华泰证券
2015-01-10,hs300,2015-01-05,601699,潞安环能
2015-01-10,hs300,2015-01-05,601727,上海电气
2015-01-10,hs300,2015-01-05,601766,中国中车
2015-01-10,hs300,2015-01-05,601800,中国交建
2015-01-10,hs300,2015-01-05,601808,中海油服
2015-01-10,hs300,2015-01-05,601818,光大银行
2015-01-10,hs300,2015-01-05,601857,中国石油
2015-01-10,hs300,2015-01-05,601866,中远海发
2015-01-10,hs300,2015-01-05,601888,中国国旅
2015-01-10,hs300,2015-01-05,601898,中煤能源
2015-01-10,hs300,2015-01-05,601899,紫金矿业
2015-01-10,hs300,2015-01-05,601901,方正证券
2015-01-10,hs300,2015-01-05,601928,凤凰传媒
2015-01-10,hs300,2015-01-05,601929,吉视传媒
2015-01-10,hs300,2015-01-05,601933,永辉超市
2015-01-10,hs300,2015-01-05,601939,建设银行
2015-01-10,hs300,2015-01-05,601958,金钼股份
2015-01-10,hs300,2015-01-05,601988,中国银行
2015-01-10,hs300,2015-01-05,601989,中国重工
2015-01-10,hs300,2015-01-05,601992,金隅集团
2015-01-10,hs300,2015-01-05,601998,中信银行
2015-01-10,hs300,2015-01-05,603000,人民网
2015-01-10,hs300,2015-01-05,603288,海天味业
2015-01-10,hs300,2015-01-05,603699,纽威股份
2015-01-10,hs300,2015-01-05,603993,洛阳钼业
2015-01-10,hs300,2015-01-05,000001,平安银行
2015-01-10,hs300,2015-01-05,000002,万科A
2015-01-10,hs300,2015-01-05,000009,中国宝安
2015-01-10,hs300,2015-01-05,000024,招商地产
2015-01-10,hs300,2015-01-05,000027,深圳能源
2015-01-10,hs300,2015-01-05,000039,中集集团
2015-01-10,hs300,2015-01-05,000060,中金岭南
2015-01-10,hs300,2015-01-05,000061,农产品
2015-01-10,hs300,2015-01-05,000063,中兴通讯
2015-01-10,hs300,2015-01-05,000069,华侨城A
2015-01-10,hs300,2015-01-05,000100,TCL集团
2015-01-10,hs300,2015-01-05,000156,华数传媒
2015-01-10,hs300,2015-01-05,000157,中联重科
2015-01-10,hs300,2015-01-05,000333,美的集团
2015-01-10,hs300,2015-01-05,000338,潍柴动力
2015-01-10,hs300,2015-01-05,000400,许继电气
2015-01-10,hs300,2015-01-05,000401,冀东水泥
2015-01-10,hs300,2015-01-05,000402,金融街
2015-01-10,hs300,2015-01-05,000413,东旭光电
2015-01-10,hs300,2015-01-05,000423,东阿阿胶
2015-01-10,hs300,2015-01-05,000425,徐工机械
2015-01-10,hs300,2015-01-05,000503,国新健康
2015-01-10,hs300,2015-01-05,000536,华映科技
2015-01-10,hs300,2015-01-05,000538,云南白药
2015-01-10,hs300,2015-01-05,000559,万向钱潮
2015-01-10,hs300,2015-01-05,000562,宏源证券
2015-01-10,hs300,2015-01-05,000568,泸州老窖
2015-01-10,hs300,2015-01-05,000581,威孚高科
2015-01-10,hs300,2015-01-05,000598,兴蓉环境
2015-01-10,hs300,2015-01-05,000623,吉林敖东
2015-01-10,hs300,2015-01-05,000625,长安汽车
2015-01-10,hs300,2015-01-05,000629,攀钢钒钛
2015-01-10,hs300,2015-01-05,000630,铜陵有色
2015-01-10,hs300,2015-01-05,000651,格力电器
2015-01-10,hs300,2015-01-05,000686,东北证券
2015-01-10,hs300,2015-01-05,000709,河钢股份
2015-01-10,hs300,2015-01-05,000725,京东方A
2015-01-10,hs300,2015-01-05,000728,国元证券
2015-01-10,hs300,2015-01-05,000729,燕京啤酒
2015-01-10,hs300,2015-01-05,000750,国海证券
2015-01-10,hs300,2015-01-05,000768,中航飞机
2015-01-10,hs300,2015-01-05,000776,广发证券
2015-01-10,hs300,2015-01-05,000778,新兴铸管
