date,mean,count,event
2015-01-05,-0.0038207683,6,break_hh20
2015-01-06,0.051679064,4,break_hh20
2015-01-08,0.08103628,1,break_hh20
2015-01-12,-0.038167298,1,break_hh20
2015-01-13,0.0059610773,3,break_hh20
2015-01-15,-0.029480895,1,break_hh20
2015-01-16,-0.008736606,2,break_hh20
2015-01-21,0.015645824,2,break_hh20
2015-01-22,-0.0035493765,1,break_hh20
2015-01-23,-0.100665435,1,break_hh20
2015-01-26,0.018101795,1,break_hh20
2015-01-27,0.016591327,1,break_hh20
2015-01-28,-0.07724828,1,break_hh20
2015-02-03,0.15851861,1,break_hh20
2015-02-11,0.0655421,1,break_hh20
2015-02-13,-0.029593227,2,break_hh20
2015-02-16,0.0035804138,2,break_hh20
2015-02-17,-0.012201108,2,break_hh20
2015-02-26,-0.023782035,2,break_hh20
2015-02-27,0.034243274,3,break_hh20
2015-03-02,0.004635538,5,break_hh20
2015-03-04,-0.051930737,3,break_hh20
2015-03-05,-0.07710599,1,break_hh20
2015-03-10,-0.05227279,1,break_hh20
2015-03-12,-0.061440915,1,break_hh20
2015-03-13,-0.05074341,1,break_hh20
2015-03-16,-0.0099779535,7,break_hh20
2015-03-17,-0.013156516,9,break_hh20
2015-03-18,-0.008248645,8,break_hh20
2015-03-19,0.00080477324,3,break_hh20
2015-03-20,0.074803144,2,break_hh20
2015-03-23,-0.0032107695,9,break_hh20
2015-03-24,-0.036669493,6,break_hh20
2015-03-25,-0.0092293965,3,break_hh20
2015-03-26,-0.052021667,3,break_hh20
2015-03-27,-0.009429861,1,break_hh20
2015-03-30,-0.044761244,9,break_hh20
2015-03-31,-0.025365798,2,break_hh20
2015-04-01,-0.029791921,3,break_hh20
2015-04-02,0.08400079,4,break_hh20
2015-04-03,-0.07682624,3,break_hh20
2015-04-07,0.039660353,9,break_hh20
2015-04-08,-0.0220939,2,break_hh20
2015-04-09,-0.029130472,3,break_hh20
2015-04-10,-0.03972319,2,break_hh20
2015-04-13,-0.014762275,6,break_hh20
2015-04-14,-0.04158392,1,break_hh20
2015-04-15,-0.007887669,1,break_hh20
2015-04-16,-0.023745937,3,break_hh20
2015-04-17,0.03576182,4,break_hh20
2015-04-20,-0.101870224,2,break_hh20
2015-04-21,0.024554795,8,break_hh20
2015-04-22,-0.018885633,4,break_hh20
2015-04-23,0.042312313,3,break_hh20
2015-04-24,0.026363537,2,break_hh20
2015-04-28,-0.06806176,2,break_hh20
2015-04-29,-0.029118113,2,break_hh20
2015-04-30,-0.05328051,1,break_hh20
2015-05-13,0.292774,1,break_hh20
2015-05-18,-0.02548042,1,break_hh20
2015-05-20,0.034565322,2,break_hh20
2015-05-21,-0.07592536,3,break_hh20
2015-05-22,0.08325068,3,break_hh20
2015-05-25,-0.0040927324,8,break_hh20
2015-05-26,-0.010906995,8,break_hh20
2015-05-27,0.006454726,6,break_hh20
2015-05-29,-0.10225256,1,break_hh20
2015-06-01,-0.06925056,6,break_hh20
2015-06-02,0.0786605,6,break_hh20
2015-06-03,-0.03255179,2,break_hh20
2015-06-04,-0.0034903223,2,break_hh20
2015-06-05,-0.015526402,3,break_hh20
2015-06-08,-0.07390521,5,break_hh20
2015-06-10,0.03283534,4,break_hh20
2015-06-11,-7.059425e-06,2,break_hh20
2015-06-12,0.04261781,5,break_hh20
2015-06-15,0.117193505,1,break_hh20
2015-06-23,0.05150924,2,break_hh20
2015-06-24,0.06780596,2,break_hh20
2015-06-25,-0.0055380017,2,break_hh20
2015-06-29,-0.1036104,1,break_hh20
2015-06-30,-0.12964877,1,break_hh20
2015-07-24,-0.016635835,1,break_hh20
2015-07-30,-0.14464626,1,break_hh20
2015-08-03,-0.09417668,1,break_hh20
2015-08-04,-0.06537416,2,break_hh20
2015-08-06,0.04182534,1,break_hh20
2015-08-10,-0.04941575,3,break_hh20
2015-08-11,-0.038487792,2,break_hh20
2015-08-12,0.016141012,1,break_hh20
2015-08-13,-0.04152589,3,break_hh20
2015-08-14,0.065912604,2,break_hh20
2015-08-17,-0.03422615,2,break_hh20
2015-08-28,-0.08848917,1,break_hh20
2015-09-21,-0.046849467,1,break_hh20
2015-09-24,-0.11766488,1,break_hh20
2015-10-08,-0.08112945,2,break_hh20
2015-10-09,-0.03886915,1,break_hh20
2015-10-12,0.064777225,7,break_hh20
2015-10-13,-0.027422028,2,break_hh20
2015-10-15,0.040420324,5,break_hh20
2015-10-16,-0.002198875,8,break_hh20
2015-10-19,0.008865676,6,break_hh20
2015-10-20,-0.048309874,6,break_hh20
2015-10-22,-0.02395536,2,break_hh20
2015-10-23,-0.007917459,4,break_hh20
2015-10-26,0.05061598,2,break_hh20
2015-10-27,-0.0012482423,2,break_hh20
2015-10-28,-0.06267141,1,break_hh20
2015-10-29,0.018158853,1,break_hh20
2015-10-30,-0.044716224,4,break_hh20
2015-11-02,0.04956182,1,break_hh20
2015-11-04,-0.03248843,10,break_hh20
2015-11-05,-0.012252406,6,break_hh20
2015-11-06,0.02070095,2,break_hh20
2015-11-09,-0.0023533755,6,break_hh20
2015-11-10,-0.086743355,1,break_hh20
2015-11-11,-0.015071047,3,break_hh20
2015-11-12,-0.030778438,1,break_hh20
2015-11-13,-0.05799012,2,break_hh20
2015-11-16,-0.04497529,2,break_hh20
2015-11-17,-0.018703187,2,break_hh20
2015-11-18,-0.042529933,2,break_hh20
2015-11-19,-0.024083512,2,break_hh20
2015-11-20,-0.010406978,1,break_hh20
