year,mean,count,event
2015,-0.008019359,394,break_hh20
2016,-0.0032335322,277,break_hh20
2017,-0.000367269,372,break_hh20
2018,-0.002528347,218,break_hh20
2019,-0.0024089585,459,break_hh20
2020,0.0017004249,438,break_hh20
2021,-0.005123789,377,break_hh20
2022,-0.003583971,290,break_hh20
2023,0.0035252913,321,break_hh20
2024,-0.004505327,341,break_hh20
2025,-0.001968128,496,break_hh20
2026,-0.005192141,368,break_hh20
2015,-0.016181014,204,rally5_15
2016,-0.024701161,50,rally5_15
2017,0.0117758205,15,rally5_15
2018,-0.019566573,29,rally5_15
2019,-0.013923805,62,rally5_15
2020,-0.013570006,99,rally5_15
2021,-0.0047127143,125,rally5_15
2022,-0.0005421207,66,rally5_15
2023,0.020263543,15,rally5_15
2024,-0.014301266,87,rally5_15
2025,-0.006052127,45,rally5_15
2026,0.0018435377,97,rally5_15
2015,0.0025676645,171,boll_break_dn
2016,-0.0071315286,218,boll_break_dn
2017,-0.007138068,226,boll_break_dn
2018,-0.0017790293,316,boll_break_dn
2019,0.0010600304,210,boll_break_dn
2020,-0.00029098912,197,boll_break_dn
2021,-0.0003209373,255,boll_break_dn
2022,0.0031630793,363,boll_break_dn
2023,0.00077460485,406,boll_break_dn
2024,0.0011763771,395,boll_break_dn
2025,-0.0023860314,276,boll_break_dn
2026,-0.0045974166,246,boll_break_dn
2015,-0.007140079,358,boll_break_up
2016,-0.00023758147,284,boll_break_up
2017,0.0011023424,353,boll_break_up
2018,-0.0043387944,189,boll_break_up
2019,-0.00084684585,394,boll_break_up
2020,0.0005593013,407,boll_break_up
2021,-0.0043048733,356,boll_break_up
2022,-0.0064985803,299,boll_break_up
2023,0.0051876125,292,boll_break_up
2024,-0.0043857954,311,boll_break_up
2025,-0.0012156797,507,boll_break_up
2026,0.0018625483,342,boll_break_up
2015,-0.0038932345,109,break_hh60_vol
2016,-0.0026936398,98,break_hh60_vol
2017,0.005726409,123,break_hh60_vol
2018,-0.0028170154,38,break_hh60_vol
2019,-0.004362224,150,break_hh60_vol
2020,-0.001162016,143,break_hh60_vol
2021,0.0060994183,96,break_hh60_vol
2022,-0.0054134503,53,break_hh60_vol
2023,0.005894134,107,break_hh60_vol
2024,-0.008069793,120,break_hh60_vol
2025,-0.008511006,151,break_hh60_vol
2026,-0.020558368,85,break_hh60_vol
2015,-0.0029969518,165,new_high_250
2016,-0.03000687,19,new_high_250
2017,0.003919932,158,new_high_250
2018,-0.01029069,31,new_high_250
2019,-0.006162353,86,new_high_250
2020,8.2562314e-05,181,new_high_250
2021,-0.009581018,127,new_high_250
2022,-0.015395792,13,new_high_250
2023,0.011354659,51,new_high_250
2024,-0.008684477,93,new_high_250
2025,-0.00076104025,87,new_high_250
2026,-0.0048533934,102,new_high_250
2015,-0.0029656144,233,close_x_ma60_dn
2016,-0.0012220291,305,close_x_ma60_dn
2017,-0.0012019736,298,close_x_ma60_dn
2018,-0.001828816,245,close_x_ma60_dn
2019,-0.0010913297,299,close_x_ma60_dn
2020,0.00063489645,311,close_x_ma60_dn
2021,0.0042428575,337,close_x_ma60_dn
2022,0.0011281424,327,close_x_ma60_dn
2023,-0.0030343346,333,close_x_ma60_dn
2024,-0.0043250048,320,close_x_ma60_dn
2025,0.00034845536,401,close_x_ma60_dn
2026,6.663787e-05,356,close_x_ma60_dn
2015,-0.0028691534,337,macd_golden
2016,0.00022355092,306,macd_golden
2017,0.0003894811,354,macd_golden
2018,0.0020691124,338,macd_golden
2019,0.0012857564,367,macd_golden
2020,-0.00094968424,391,macd_golden
2021,-0.0026463298,416,macd_golden
2022,0.0008080011,387,macd_golden
2023,0.0010772786,440,macd_golden
2024,-0.00026954274,465,macd_golden
2025,-0.00080115016,518,macd_golden
2026,0.0037343039,379,macd_golden
2015,-0.007672419,175,drop5_12
2016,-0.0001365823,125,drop5_12
2017,-0.004394025,24,drop5_12
2018,0.012047393,94,drop5_12
2019,-0.0015035041,54,drop5_12
2020,-0.0070741284,79,drop5_12
2021,-0.0025932246,109,drop5_12
2022,-0.008854691,100,drop5_12
2023,0.0038323402,14,drop5_12
2024,0.0035743776,68,drop5_12
2025,0.0016385134,44,drop5_12
2026,0.006914748,122,drop5_12
2015,-0.0020214927,264,limit_up_normal
2016,-0.023296598,58,limit_up_normal
2017,-0.042152658,19,limit_up_normal
2018,-0.018736789,31,limit_up_normal
2019,0.007864495,71,limit_up_normal
2020,-0.013906986,74,limit_up_normal
2021,0.009092539,156,limit_up_normal
2022,0.010596728,55,limit_up_normal
2023,0.007116652,18,limit_up_normal
2024,-0.023916984,65,limit_up_normal
2025,0.00485304,59,limit_up_normal
2026,-0.006074975,111,limit_up_normal
