factor,label,horizon,mean_ic,icir,t_nw,pct_positive,is_ic,oos_ic,q1,q2,q3,q4,q5,q5_minus_q1,n_dates
ret5,5 日涨跌幅（短期反转）,5,-0.02106169074509564,-0.10452669052838985,-1.3634151229314346,0.45161290322580644,,-0.02106169074509564,0.0005950317,0.00027190475,-0.00010633316,0.00039156203,-0.0012756968,-0.0018707286,403
ret20,20 日涨跌幅,5,-0.046489961206594654,-0.20857177687836595,-2.3835105234347442,0.43424317617866004,,-0.046489961206594654,0.00033526946,0.0004658499,0.0002404182,0.0002506896,-0.0013375828,-0.0016728523,403
ret60,60 日涨跌幅（中期动量）,5,-0.03937411906944868,-0.16998165039518104,-1.8174488784633651,0.41687344913151364,,-0.03937411906944868,0.0010654652,-0.0005755485,0.00028861253,0.0001475466,-0.0009963851,-0.0020618504,403
bias20,偏离 MA20 的幅度,5,-0.027180185243985622,-0.13174992379715944,-1.5254057427818708,0.45409429280397023,,-0.027180185243985622,0.00013093124,-2.348915e-05,0.00049814896,2.1433778e-05,-0.0007617797,-0.000892711,403
rsi14,RSI14,5,-0.03278614161315197,-0.1560643828557743,-1.77641089470442,0.4441687344913151,,-0.03278614161315197,0.00038857444,-3.621307e-05,0.00010330138,0.0005262306,-0.0011067527,-0.0014953271,403
kdj_j,KDJ 的 J 值,5,-0.001419318657549771,-0.007388527452371451,-0.08753060943101124,0.4640198511166253,,-0.001419318657549771,-9.3245486e-05,0.00013267367,0.00044253227,0.00055158144,-0.0011501681,-0.0010569226,403
boll_pctb,布林带位置 %b,5,-0.023845140726191233,-0.12070739565584053,-1.4232729955088403,0.4441687344913151,,-0.023845140726191233,-0.00033555282,-0.00014334667,0.0007545157,8.4693376e-05,-0.00051712623,-0.00018157341,403
macd_norm,MACD 柱 / 股价,5,-0.007620616700886095,-0.03677059330780801,-0.42107026156677735,0.46898263027295284,,-0.007620616700886095,-0.0002497679,-0.00012538748,0.00015564663,0.0002442396,-0.00019063977,5.9128142e-05,403
dist_hh60,距 60 日最高点的距离,5,-0.000576967524734668,-0.0024886713185109056,-0.027904052283594136,0.533498759305211,,-0.000576967524734668,0.00064551044,-0.0007037377,5.881029e-05,0.00052565424,-0.0006468118,-0.0012923223,403
vol_ratio,量比（当日量 / 前 5 日均量）,5,-0.02694277996615229,-0.1727032896726232,-2.9862984934670376,0.43424317617866004,,-0.02694277996615229,-0.00026787605,-3.3526023e-05,-0.00030385063,0.00047525842,-2.6045116e-05,0.00024183093,403
