month,ic,factor,horizon
2025-01,-0.15395507526035263,ret5,5
2025-02,-0.0043223678279465045,ret5,5
2025-03,0.10141601066112622,ret5,5
2025-04,-0.057701945540513624,ret5,5
2025-05,0.10553856226755653,ret5,5
2025-06,-0.07906686525188253,ret5,5
2025-07,-0.09037739240671097,ret5,5
2025-08,0.042064016381051846,ret5,5
2025-09,-0.09055301673683788,ret5,5
2025-10,-0.15259531556059666,ret5,5
2025-11,0.007563185550786682,ret5,5
2025-12,0.06705339155355151,ret5,5
2026-01,-0.017513848189541912,ret5,5
2026-02,0.004109196173050849,ret5,5
2026-03,0.03154840559483582,ret5,5
2026-04,-0.10935043038022925,ret5,5
2026-05,0.03305857367759236,ret5,5
2026-06,-0.03245965895370101,ret5,5
2026-07,0.043236744016618464,ret5,5
2026-08,-0.08972410771316114,ret5,5
2026-09,-0.15660825641357182,ret5,5
2025-01,-0.25393517406962784,ret20,5
2025-02,0.04981498563486448,ret20,5
2025-03,0.0029124823048693577,ret20,5
2025-04,-0.18948365643268003,ret20,5
2025-05,-0.039474934717468636,ret20,5
2025-06,0.011034607220376047,ret20,5
2025-07,-0.14300210675497696,ret20,5
2025-08,0.019036314371669808,ret20,5
2025-09,0.015672684270962172,ret20,5
2025-10,-0.19622697563874034,ret20,5
2025-11,-0.06402592125244251,ret20,5
2025-12,0.07542783898360451,ret20,5
2026-01,0.03902681673682634,ret20,5
2026-02,0.13288236365823605,ret20,5
2026-03,-0.1251770211023995,ret20,5
2026-04,-0.09653156861337367,ret20,5
2026-05,0.07043116298702005,ret20,5
2026-06,0.052733492240504276,ret20,5
2026-07,-0.09332087855471345,ret20,5
2026-08,-0.19964998610508036,ret20,5
2026-09,-0.13942361973347522,ret20,5
2025-01,-0.12045138055222089,ret60,5
2025-02,-0.013018596865875663,ret60,5
2025-03,-0.17131647059171917,ret60,5
2025-04,-0.11079045958438223,ret60,5
2025-05,-0.09005468049325098,ret60,5
2025-06,0.0039037813187629993,ret60,5
2025-07,-0.0485230055396831,ret60,5
2025-08,-0.018044867198706176,ret60,5
2025-09,0.016335002368274135,ret60,5
2025-10,-0.1907605466428996,ret60,5
2025-11,-0.011592758946346694,ret60,5
2025-12,0.08393772161569502,ret60,5
2026-01,0.12333277722420129,ret60,5
2026-02,0.21467729503500982,ret60,5
2026-03,-0.21076078882498928,ret60,5
2026-04,0.055776320124742054,ret60,5
2026-05,0.05401426760965682,ret60,5
2026-06,0.07213554078044586,ret60,5
2026-07,-0.3097633354853095,ret60,5
2026-08,-0.0277873272778293,ret60,5
2026-09,-0.12220125822713658,ret60,5
2025-01,-0.20514765906362542,bias20,5
2025-02,0.07631024416061274,bias20,5
2025-03,0.10928523952786605,bias20,5
2025-04,-0.1873072649679002,bias20,5
2025-05,0.06109270926384971,bias20,5
2025-06,0.004317146583233256,bias20,5
2025-07,-0.13974022544251766,bias20,5
2025-08,0.032746452310887894,bias20,5
2025-09,-0.05983872856776353,bias20,5
2025-10,-0.16941261353026055,bias20,5
2025-11,-0.04666309449724856,bias20,5
2025-12,0.08764119528927071,bias20,5
2026-01,0.04360946293191291,bias20,5
2026-02,-0.0181072540000534,bias20,5
2026-03,-0.014505809247022904,bias20,5
2026-04,-0.07073740511267013,bias20,5
2026-05,0.05951833389409882,bias20,5
2026-06,0.051011155613363404,bias20,5
2026-07,0.0290401186561046,bias20,5
2026-08,-0.20878747594376995,bias20,5
2026-09,-0.18550727395680278,bias20,5
2025-01,-0.2265066026410564,rsi14,5
2025-02,0.05800951291877833,rsi14,5
2025-03,0.03157818830097318,rsi14,5
2025-04,-0.17596610214705646,rsi14,5
2025-05,0.08672245290012343,rsi14,5
2025-06,0.01585619989138798,rsi14,5
2025-07,-0.09375893157566983,rsi14,5
2025-08,0.05936992517745542,rsi14,5
2025-09,-0.04268170693470958,rsi14,5
2025-10,-0.1446990917579153,rsi14,5
2025-11,-0.012757756290556125,rsi14,5
2025-12,0.06671751740035402,rsi14,5
2026-01,0.034322893219671406,rsi14,5
2026-02,0.09459394139101139,rsi14,5
2026-03,-0.06314549712089451,rsi14,5
2026-04,-0.07153196587139539,rsi14,5
2026-05,0.06508548609256862,rsi14,5
2026-06,0.01415496362988616,rsi14,5
2026-07,-0.10882896451608529,rsi14,5
2026-08,-0.2147153871134479,rsi14,5
2026-09,-0.1839384811718919,rsi14,5
2025-01,-0.07286434573829531,kdj_j,5
2025-02,0.03817769686129257,kdj_j,5
2025-03,0.14373261721226308,kdj_j,5
2025-04,-0.03661420123182946,kdj_j,5
2025-05,0.08239036452660144,kdj_j,5
2025-06,-0.0523626751876063,kdj_j,5
2025-07,-0.02372921356306573,kdj_j,5
2025-08,0.04851070212437264,kdj_j,5
2025-09,-0.07367215912229247,kdj_j,5
2025-10,-0.07527798998387233,kdj_j,5
2025-11,0.023699451513820143,kdj_j,5
2025-12,0.08648220970132921,kdj_j,5
2026-01,0.022312936436359555,kdj_j,5
2026-02,-0.1015616581333654,kdj_j,5
2026-03,0.06003271351381714,kdj_j,5
2026-04,-0.08733722436965803,kdj_j,5
2026-05,0.05085269510012077,kdj_j,5
2026-06,-0.028021210058025797,kdj_j,5
2026-07,0.0956311859362787,kdj_j,5
2026-08,-0.1405937453544237,kdj_j,5
2026-09,-0.1773369054604602,kdj_j,5
2025-01,-0.15625450180072026,boll_pctb,5
2025-02,0.051494814959591295,boll_pctb,5
2025-03,0.1446165291380318,boll_pctb,5
2025-04,-0.14952223970345832,boll_pctb,5
2025-05,0.08112940368303728,boll_pctb,5
2025-06,-0.01993281040761864,boll_pctb,5
2025-07,-0.0997408519684213,boll_pctb,5
2025-08,0.04614924105684258,boll_pctb,5
2025-09,-0.040317392371201674,boll_pctb,5
2025-10,-0.11650114591291061,boll_pctb,5
2025-11,0.0009037602455646942,boll_pctb,5
2025-12,0.04323556621152551,boll_pctb,5
2026-01,0.03566890214734877,boll_pctb,5
2026-02,0.03160994951758896,boll_pctb,5
2026-03,-0.008115436376291928,boll_pctb,5
2026-04,-0.08790172867541106,boll_pctb,5
2026-05,0.05463005887384973,boll_pctb,5
2026-06,-0.010744224194462257,boll_pctb,5
2026-07,0.0004400596948881252,boll_pctb,5
2026-08,-0.25686217812006057,boll_pctb,5
2026-09,-0.16737386296503287,boll_pctb,5
2025-01,-0.06161824729891956,macd_norm,5
2025-02,0.13432324489500888,macd_norm,5
2025-03,0.18760927329726593,macd_norm,5
2025-04,-0.09694229600535363,macd_norm,5
2025-05,0.0400429667388055,macd_norm,5
2025-06,-0.025843684903040252,macd_norm,5
2025-07,-0.0900278638459212,macd_norm,5
2025-08,-0.022368513376368963,macd_norm,5
2025-09,-0.10878680273673556,macd_norm,5
2025-10,-0.09450810627281214,macd_norm,5
2025-11,-0.06367267651122735,macd_norm,5
2025-12,0.06631428315847718,macd_norm,5
2026-01,0.0058765862740008685,macd_norm,5
2026-02,-0.19216271668971535,macd_norm,5
2026-03,0.0864618420927402,macd_norm,5
2026-04,-0.053002821423749936,macd_norm,5
2026-05,0.07004759860431893,macd_norm,5
2026-06,-0.028343799558517624,macd_norm,5
2026-07,0.16848607046037323,macd_norm,5
